,link,image,addr,zip,redfin_price,sold_price,Beds,Bath,SqFt,YearBuilt,SoldTime,Disc,Stories,Style,Community,County,LotSize,ElemSchool,MidSchool,HighSchool,Walk,Transit,Bike
22,26611921,/dae30877c6480459e595fb9cbedf5f9a_genMid.18540170_1.jpg,4444 SE 29th Ave,97202,440238,420000,2,1,1608,1925,SOLD 6/15/18,"Open Sunday 4/29 1-3pm. Charming close-in SE bungalow. Light filled living room w/ wood burning fireplace & hardwood floors. Kitchen w/ gorgeous quartz counters, stainless steel appliances and eating area. Lots of potential in the full basement.Beautiful backyard has raised beds and space for summer entertainment. The home is ideally located around the corner from Bird + Bear restaurant and Marigold Coffee and more. [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R126413-20180406.pdf]",2,1 Story,Multnomah,18540170,"5,000 Sq. Ft.",5,5,6,70,53,92
23,25809767,/7dc6cf9c8090733aceb474fe4e105fe6_genMid.18584205_0.jpg,1424 SE Lambert St,97202,467046,461000,3,2,1008,1974,SOLD 6/14/18,"PRICE ADJUSTED! Immerse yourself in the timeless Sellwood lifestyle! This welcoming, cozy, & intimate 1 level home flows to a peaceful, quiet backyard-your own peaceful sanctuary. Rare xtra long driveway, over sized 1 car gar & ALL appliances included Plus, roof, windows, flooring, H20 heater all new in past 10 yrs. Amazing  23 X 12 covered deck perfect for year round entertaining. Walk anywhere! Open house 5-20, 1-4PM [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R219327-20180123.pdf]",1,"Ranch, 1 Story",Multnomah,18584205,"5,000 Sq. Ft.",8,8,6,93,44,83
24,26577186,/3c872db02a426eaf2ab96d06577c3f5f_genMid.18117026_0.jpg,3915 SE Lambert St,97202,557839,549000,2,3,2061,1915,BOUGHT WITH REDFIN 6/14/18,"Owner has meticulously maintained & updated almost every surface in this home!  Beautiful cherry hardwoods floors, newer windows, great kitchen w/dining area overlooking the backyard, Master suite w/skylights & ample closet space, living room w/2 sitting areas, sunny front porch, gorgeous backyard with hardscape, retaining walls, deck, patio...so much WOW! [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R115221-20180321.pdf]",3,Bungalow,Multnomah,18117026,"3,900 Sq. Ft.",8,8,6,52,46,81
25,109514726,/a49c0b25f3c7fc114d9ac56ccdf7cccd_genMid.17617719_0.jpg,3947 SE 36th Ave,97202,495468,495000,3,2.5,1576,2017,SOLD 6/13/18,"Beautiful New Craftsman home! Certified Earth Advantage home with all of the modern conveniences. Master suite with a double sink, tiled shower, walk-in closet. Custom built-ins, slab quartz counters, and stainless appliances. Open, sunny great room with a fireplace. Sustainable, energy efficient, and quality craftsmanship built to perfection. Great location! Walk to parks, restaurants, and shops!",2,Craftsman,CRESTON - KENILWORTH,Multnomah,"2,525 Sq. Ft.",5,5,6,79,52,91
26,26552773,/a1d7195ab019b526d0a9dc4776598eb5_genMid.18272178_0.jpg,1235 SE Mall St,97202,464667,445000,3,1.5,1613,1900,SOLD 6/11/18,"Flooded with sunshine & good vibes this quaint Brooklyn Bungalow will win your heart!Visit with friends/neighbors on the big welcoming front porch.Inside,open living spaces w/high ceilings,wood floors & period built-ins will delight you.Cozy bedrooms;1 main flr.,2 up. Updated baths.Quiet backyard has something for everyone - room to run,garden + a big sunny deck for summer BBQs. 500 sq. ft. basement w/exterior entrance = great storage! [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R271272-20180411.pdf]",2,Bungalow,Brooklyn,Multnomah,"5,000 Sq. Ft.",5,5,6,72,57,92
27,26336053,/d2196cc3070b02d316a30fcac1d2cd20_genMid.18190916_4.jpg,2724 SE Kelly St,97202,492725,485000,3,1.5,2240,1929,SOLD 6/11/18,"Enchanting PDX Bungalow in Prime SE location on .11 acres! Inviting front porch, covered entry w bench. Classic details include refinished hardwoods, wood burning fireplace, built-in cabinetry, lighting. New interior paint. New flooring in kitchen. Two bedrooms; vintage full bath on main. Loft & third bedroom up w updated half bath. Full basement. Detached garage. Fenced backyard w grass, raised beds, patio. Close to SE Division! [Home Energy Score = 3. HES Report at https://api.greenbuildingregistry.com/report/pdf/R299376-20180315.pdf]",3,Bungalow,HOSFORD-ABERNATHY,Multnomah,"5,000 Sq. Ft.",9,5,6,87,57,93
28,26616158,/e8cdf29026d820215bafcd957e446b7e_genMid.18121451_0.jpg,2524 SE 38th Ave,97202,636309,685000,3,2,2382,1924,SOLD 6/06/18,"Gorgeous Richmond Retreat offers the ultimate urban experience just off of Division. Incredible remodeled kitchen blends modern details with vintage flair. Beautiful open living/dining room with original built-ins, hardwoods & fireplace. 2 beds on main. Spacious master suite with adjacent den/nursery/yoga room.  Lovingly landscaped. Fenced/private back yard with perfect back patio for summer fun. Walk/bike to everything!!! [Home Energy Score = 1. HES Report at https://api.greenbuildingregistry.com/report/pdf/R254880-20180425.pdf]",3,"Bungalow, Craftsman",Multnomah,18121451,"3,735 Sq. Ft.",9,5,6,88,52,100
30,26418544,/df44d97859141cdefcd2240d637efcb6_genMid.18565090_0.jpg,5335 SE 34th Ave,97202,610164,613000,5,2.5,2577,1947,SOLD 5/21/18,Charming 1947 Cape Cod home in highly desired Eastmoreland/Reed College location.  Front door opens to open living room/dining room area with hardwood floors and focus on the wood burning fireplace.  Adjacent to dining room is a bright updated kitchen.  Finished basement with oversized laundry/craft room and separate game room.  Rear property without obstruction opens to park like setting with views of the SW Hills. Updates throughout. [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R253085-20171228.pdf],3,Capecod,EAST MORELAND,Multnomah,2,5,5,6,45,48,86
31,26616129,/729d8ad4eeec543172867cd0dd645306_genMid.18266091_0.jpg,3834 SE Crystal Springs Blvd,97202,492227,490000,3,2,1489,1952,SOLD 5/21/18,"OPEN SAT 3/31 1-3pm. Best-priced 3 bed+2 bath home in coveted Duniway School district in Eastmoreland. Charmer with coved ceilings in living room, hardwood floors, Marmoleum throughout. Unique master with sitting room & fireplace! Upstairs could be private suite. Private backyard with beautiful raised garden beds & playhouse. All appliances included. 95% hi-efficiency gas furnace & 98% efficient tankless water heater, A/C. Near parks. [Home Energy Score = 6. HES Report at https://api.greenbuildingregistry.com/report/pdf/R115384-20180321.pdf]",2,Cottage,Multnomah,18266091,"5,000 Sq. Ft.",8,8,6,49,48,83
32,25851328,/3edf6329709752f3ad1b5bccb7848c95_genMid.18685196_0.jpg,7634 SE 20th Ave,97202,596091,619000,3,2,1922,1925,SOLD 4/30/18,"Tastefully remodeled English style in Westmoreland. Master suite has walk-in closet, skylights & double vanities. Beautifully refinished floors throughout main level. Dining room with French door that leads to covered deck for year round outdoor space & entertaining. Remodeled kitchen and bathrooms. Private, fenced backyard. Detached garage plus ample off street parking on enclosed driveway. Few Blocks to park, shops & cafes! [Home Energy Score = 2. HES Report at https://api.greenbuildingregistry.com/report/pdf/R304207-20180305.pdf]",3,English,Multnomah,18685196,"5,000 Sq. Ft.",8,8,6,75,49,99
